,Unnamed: 0,CEO,Ticker,Sector,Quarter,Year,Date,OtherExecScore,Analyst_Word_Count,Analyst_Sent_Count,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile,Next_Date,Time_Delta,twenty_ret,twentyfive_ret,thirty_ret,thirtyfive_ret,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,adjweightedavebasicsharesos,adjbasiceps,adjweightedavedilutedsharesos,adjdilutedeps,adjweightedavebasicdilutedsharesos,adjbasicdilutedeps,FFR_0,FFR_60,FFR_90,FFR_120,FFR_30,T10_0,T10_60,T10_90,T10_120,T10_30,Tax_Law,CEOScore_sqrt,CEO_Word_Count_sqrt,CEO_Sent_Count_sqrt,OtherExec_Sent_Count_sqrt,CEO_Pos_Fin_sqrt,AnalystScore_pwr,OtherExec_Word_Count_pwr
1008,1071,Tim Leach,CXO,Energy,Q4,2011,2/23/2012 16:24,1.164,34,2,3,3,2.5,1.802995174,1.643320117,1.59539673,1.715505866,1.529425761,0.955634034,0.628308383,0.840078064,0.250972005,0.864531137,5/3/2012 10:00,69,0.009208595,-0.02326616,-0.116152854,-0.037323724,0.900034,494861625.4,0.305891,4994897000,0.3597,995714000,-500852374.6,-53275374.6,2014158000,799694000,400022000,1199716000,1549170000,-290796000,-290454000,-290454000,2080141000,2080141000,2079799000,5060880000,28.834,28.5115,9717468750,11797267750,3.2514,3.2881,6.0067,17.7282,0,0.056407,2.3619,7.2923,9.8334,14.7522,23.8395,9.8355,NA,1.30443,1.586952,1.616912,1.682082,1.422018,0.84084,0.696954,0.248979,0.086698,-0.056926,-0.124239,-0.114919,-0.119948,-0.114094,0.167001,NA,0.045242,0.828203,0.741586,0.496775,0.494318,0.338822,0.171797,0.060902,0,0.331428,0.804506,0.851993,0.384246,0.2648,5.0856,NA,0.2888,8.619,71.7716,0,42.3482,29.4234,0.6766,2.2775,1.9404,0.6979,0.6979,0.110042,-0.029357,0.139399,0.094311,0.204353,-0.111374,0.130903,0.089726,-0.002092,0.20478,0,0.004344,0.774258,0,0.411024,0.411024,0,0,0.590556,1.7339,1.7336,1.7339,4.2035,4.2028,4.2035,2.294,6.7565,4.181,-6.3322,-8.9076,10.134,-2.9546,-4.2316,0.5859,0.5246,-0.179751,-0.17954,-0.17954,502147840.2,0.310395,0.421156,102581000,5.34,103653000,5.28,438500000,1.25,0,,0.01,0,-0.01,-0.04,,0.02,-0.24,-0.09,0,0.378153408,52.80151513,13.22875656,11.39230485,3.449489743,1,94.35045066
1009,1072,Larry Page,GOOGL,Communication Services,Q1,2012,4/12/2012 22:10,1.092,1249,58,3,2.5,2.428571429,1.808536734,1.616925266,1.536650291,1.724881334,1.472325305,0.969651471,0.4057309,0.373836178,0.331563361,0.535053202,10/18/2012 19:00,188,-0.035441279,-0.074511621,-0.06777855,-0.128237202,0.284502,10311611767,0.257952,18673000000,2.3038,2642000000,7669611767,-517388233.5,-43039000000,13479000000,1961000000,15440000000,3155000000,1971000000,51837000000,47117000000,7707000000,2987000000,-43039000000,69419000000,186.929,160.0734,1.06176E+11,63136959335,1.7205,2.0092,2.6561,9.8048,0,0.101991,3.3812,1.5794,4.0892,4.6841,6.1229,4.1849,8.2321,0.270991,0.261842,0.294986,0.297197,0.281056,0.292913,1.162452,0.164806,0.05461,0.089088,0.093542,0.111684,0.11215,0.108871,0.035839,0.111592,0.026271,0.648755,0.386241,0.321076,0.337186,0.270894,0.351245,0.072295,0.134509,0.32768,0.803398,1,0.196602,0.5831,8.5244,NA,4.4113,22.0078,42.8184,0,16.585,26.2334,-0.6861,1.2401,1.2401,0.0484,0.1249,0.594261,0.013641,0.58062,-0.398372,0.195888,0.442002,0.196624,0.157968,0,0.195888,0,0,4.781933,0.067993,0.043029,0.111021,0,0,0.888979,0.4992,-2.7875,0.1935,0.7474,-4.1738,0.2897,6.6907,NA,NA,NA,NA,NA,NA,NA,5.8365,5.6486,0.049306,1.296735,1.178662,10311611767,0.257952,0.337186,325299000,33.46,330136000,33,NA,NA,0.03,,0.06,0.08,0.03,0.12,,0.19,0.16,-0.06,0,0.418330013,47.47630988,10.44030651,11,3.236067977,1.021328321,106.7007899
1010,1073,Lawrence Page,GOOGL,Communication Services,Q3,2012,10/18/2012 19:00,1.153,1,1,1,inf,3,1.812406749,1.645914175,1.569117247,1.746995331,1.504036388,0.977082577,0.649137922,0.657578735,0.548020943,0.742319802,1/22/2013 20:48,96,-0.033716942,-0.039428555,-0.020621333,0.004662831,0.295825,10223841098,0.220627,28583000000,2.0115,11090000000,-866158901.6,-332158901.6,-39445000000,13329000000,2512000000,15841000000,3204000000,1017000000,47291000000,42387000000,7892000000,2988000000,-39445000000,75920000000,204.1657,149.4268,1.26089E+11,86643924431,1.8535,2.5325,2.721,11.9448,0,0.083719,3.0313,1.8697,5.4696,6.5004,8.4747,5.4582,NA,0.155603,0.112697,0.140402,0.102454,0.088616,0.120491,-1.173054,0.633968,0.083824,-0.013636,-0.039974,-0.035497,-0.049779,-0.053349,0.003413,-0.708785,0.013402,0.608912,0.341843,0.277795,0.287635,0.227795,0.391088,0.076133,0.132844,0.331118,0.791957,1,0.205792,0.5836,7.8264,NA,4.4979,12.9635,46.6371,0,28.1559,18.4812,-0.625,1.2927,1.2927,0.0439,0.116,0.443782,0.008652,0.43513,-0.271941,0.171841,-0.037597,0.167853,0.132932,0,0.171841,0,0,4.954432,0.064594,0.039357,0.103952,0,0,0.896048,0.4982,-2.4901,0.1886,0.7719,-3.8581,0.2923,5.7687,NA,NA,NA,NA,NA,NA,NA,3.9366,3.7088,0.021946,1.020522,0.914696,10223841098,0.220627,0.287635,661099000,32.43,333200000,31.94,NA,NA,0.02,,0.02,-0.01,-0.01,0.05,,0.37,0.21,0.04,0,0.409878031,55.80322571,11.22497216,14.07669683,3,1,154.5916294
1011,1074,Larry Page,GOOGL,Communication Services,Q4,2012,1/22/2013 20:48,1.143,1566,78,1,inf,3,1.814640113,1.659863605,1.532548916,1.741401603,1.495190423,0.980626501,0.752404517,0.339576007,0.492004233,0.689202762,4/18/2013 18:39,85,0.007486515,0.024035653,0.129607739,0.09058547,0.214589,11045974290,0.239926,26995000000,2.0376,8800000000,2245974290,308974289.9,-44720000000,14469000000,2962000000,17431000000,3273000000,-122000000,48666000000,46117000000,5537000000,2988000000,-44720000000,77252000000,107.9054,80.8068,2.35794E+11,1.91074E+11,3.2879,4.3905,5.1216,21.9609,0,0.045536,7.0781,4.1503,10.9617,13.2057,17.298,11.4973,85.0739,0.229527,0.17386,0.190855,0.102701,-0.456989,0.141023,-0.674481,0.483649,-0.006495,0.100372,0.085528,0.080413,0.017147,-0.494051,0.046932,3.593028,-0.055557,0.626925,0.378614,0.300484,0.314277,0.233215,0.373075,0.07561,0.132127,0.326441,0.742069,1,0.201534,0.5534,6.9169,63.6148,4.2913,13.2123,52.7692,5.7377,27.6258,30.8811,-0.652,1.2812,1.2812,0.0417,0.0772,0.488868,-0.007298,0.496166,-0.323505,0.165363,0.099401,0.173936,0.129072,0,0.165363,0,0,5.077605,0.032996,0.038679,0.071675,0,0,0.928325,0.3177,-2.5655,0.1714,0.5013,-4.0485,0.2705,8.718,NA,NA,NA,NA,NA,NA,NA,4.2166,3.9529,-0.00265,1.05706,1.001694,11045974290,0.239926,0.314277,654426000,16.41,664610000,16.16,NA,NA,-0.03,-0.02,-0.03,-0.02,,0.09,0.16,0.06,0.12,,0,0.417133072,56.40035461,12,11.53565375,2.732050808,1.039751648,119.9746604
1012,1075,Larry Page,GOOGL,Communication Services,Q1,2013,4/18/2013 18:39,1.154,1,1,2,6,2.714285714,1.815304815,1.634303661,1.573276495,1.742717713,1.489405016,0.981586791,0.553322301,0.691135459,0.505210887,0.652087433,7/18/2013 21:00,91,0.039926673,0.051926777,0.132687607,0.145314369,0.209381,11686266581,0.241726,28344000000,2.0565,9671000000,2015266581,493266581.1,-47129000000,14806000000,3350000000,18156000000,3869000000,908000000,51706000000,49556000000,5139000000,2989000000,-47129000000,80612000000,112.0898,85.4772,2.68202E+11,2.21073E+11,3.5536,4.66,5.5477,23.9615,0,0.041734,7.7996,4.5728,12.1763,14.9313,18.9173,13.3514,109.6989,0.175907,0.098449,0.133311,0.033613,-0.624848,0.097501,-0.73724,0.517914,0.050088,0.041593,0.023291,0.057966,0.04247,-0.233911,-0.00367,-0.102721,0.049972,0.616858,0.375551,0.293577,0.306257,0.231523,0.383142,0.07734,0.129465,0.323281,0.755977,1,0.176618,0.5562,7.5687,NA,4.3603,12.9804,48.225,0,28.1194,20.1056,-0.6573,1.2672,1.2672,0.0396,0.0681,0.497108,-0.010941,0.508049,-0.333927,0.163181,0.085725,0.170344,0.128777,0,0.163181,0,0,4.279659,0.026671,0.037079,0.06375,0,0,0.93625,0.283,-2.5958,0.1646,0.4397,-4.0329,0.2558,9.9525,NA,NA,NA,NA,NA,NA,NA,4.7395,4.4076,0.018782,1.069521,1.025049,11686266581,0.241726,0.306257,660908000,12.59,673326000,12.38,NA,NA,-0.01,,0.01,-0.02,0,-0.29,,-0.15,-0.1,-0.2,0,0.44384682,52.87721627,11.66190379,15.03566885,3.449489743,1,142.8681375
1013,1076,Larry Page,GOOGL,Communication Services,Q2,2013,7/18/2013 21:00,1.154,1549,80,2,2,2.333333333,1.795288355,1.632658364,1.539663504,1.755470449,1.452899852,0.92795588,0.539345021,0.399676352,0.630753205,0.398737279,1/26/2017 23:30,1288,0.011265382,0.001229402,-0.035167661,0.018610212,0.161124,11650500899,0.234676,27075000000,1.7961,-1130000000,12780500899,14500899,-51777000000,15017000000,3710000000,18727000000,4706000000,-670000000,54532000000,51532000000,4989000000,1989000000,-51777000000,83841000000,116.5288,89.9961,2.98784E+11,2.47007E+11,3.7892,4.9063,6.0184,25.6776,0,0.038945,9.1231,4.9755,13.1899,16.4485,21.2014,14.5204,19.3269,0.166065,0.081605,0.099092,0.047439,-0.741257,0.075284,26.213773,-0.040064,0.02689,0.03145,0.014251,-0.00306,0.039578,-0.29483,0.027358,5.341841,-0.044771,0.616457,0.377218,0.290482,0.302488,0.234384,0.383543,0.078457,0.130668,0.325974,0.774855,1,0.192116,0.5303,6.9987,39.0184,4.1682,9.1171,52.1528,9.3546,40.0348,21.4726,-0.615,1.3041,1.3041,0.0252,0.0633,0.421509,-0.000328,0.421837,-0.259417,0.162092,0.462391,0.16041,0.124294,0,0.162092,0,0,3.614747,0.035782,0.023723,0.059505,0,0,0.940495,0.2664,-2.7648,0.1062,0.4282,-4.4442,0.1707,10.3797,NA,NA,NA,NA,NA,NA,NA,4.3617,4.0787,-0.013496,1.098439,1.03801,11650500899,0.234676,0.302488,664960000,8.9,676674000,8.73,NA,NA,-0.01,,-0.06,-0.06,-0.03,0.61,,0.83,0.6,0.36,0,0.470106371,41.09744518,8.831760866,13.88409873,2.414213562,1.051661223,138.3195681
1014,1077,Rory P. Read,AMD,Information Technology,Q4,2011,1/24/2012 20:50,1.133,1830,96,2,3,2.5,1.80502633,1.636876262,1.544243289,1.648471701,1.511856299,0.961280612,0.575038759,0.439769589,0.009195889,0.785012433,4/19/2012 21:40,86,0.071656051,0.068471338,0.141719745,0.286624204,0.011395,-1104000000,-0.168088,1414000000,4.2942,-231000000,-873000000,-1595000000,-176000000,169000000,338000000,507000000,234000000,179000000,1944000000,1455000000,2016000000,1527000000,-176000000,3606000000,2.1429,1.6968,4006800000,3830800000,2.52,3.1825,0.61,8.1605,0,0.122542,2.7092,0.5833,7.5558,22.6675,NA,10.0283,NA,-0.677481,-0.854185,-2.354911,0.042463,0.03125,1.927184,-1.296051,-0.140426,0.006436,-0.534435,-0.769126,-2.679561,-0.529243,-0.531915,22.222222,NA,-0.03217,0.447625,0.077192,0.056029,0.025731,0.074756,0.552375,0.151035,0.221224,0.391596,-491,-0.005917,4,1.3245,6.9613,6.5487,9.2118,6.4728,52.4326,55.7359,56.3899,51.7787,0.1752,3.8102,-0.0225,0.9604,1.2679,-0.721805,-6.995614,6.27381,1.099062,0.377257,-0.570775,0.034079,0.099012,0,0.377257,0,0,1.632479,0.135607,0.423461,0.559068,0,0,0.440932,3.9763,-0.3471,3.0118,-1.8261,0.1594,-1.3832,1.099,0.9389,-6.1333,-0.3611,-7.4333,2.1222,0.8222,-4.85,1.8202,1.513,0.027253,0.295981,0.221529,326200000,0.049665,-0.000152,727000000,0.68,742000000,0.66,722100000,0.68,0.01,0.02,0.01,0.01,,0.05,0.11,-0.15,0.17,,0,0.423083916,67.74215822,14.62873884,9.185352772,2.732050808,1.020635752,74.44284936
1016,1079,Rory P. Read,AMD,Information Technology,Q2,2012,7/19/2012 20:50,1.114,2190,93,5,0.75,1.857142857,1.802102655,1.648202794,1.544081231,1.664524479,1.511187099,0.95295139,0.667152215,0.438337703,0.02536021,0.781527682,10/18/2012 20:10,90,-0.086580087,-0.125541126,-0.199134199,-0.220779221,-0.011621,-273559171.6,-0.042884,1379000000,4.4422,-114000000,-159559171.6,359440828.4,262000000,-514000000,299000000,-215000000,208000000,-209000000,1370000000,881000000,2021000000,1532000000,262000000,3138000000,1.4795,0.6079,4326150000,4588150000,3.873,9.4252,0.6782,NA,0,-0.146319,3.3272,0.7193,NA,NA,NA,8.135,NA,-1.195811,-1.710927,-1.428694,-1.764493,-1.765766,2.703927,NA,-0.076356,-0.024618,-0.319018,-0.077568,-0.093013,-0.039409,-0.036585,-0.141553,-2.111532,0.015464,0.343941,-0.033704,-0.046089,-0.080577,-0.099232,0.656059,0.146418,0.224487,0.39003,0.936391,1.315175,0.069527,1.2429,8.4884,5.6746,9.1587,4.912,43.0001,64.322,74.3082,33.0138,0.0413,3.7219,4.895,1.3715,1.8093,-0.190501,6.305979,-6.49648,-0.268527,-0.459028,-0.111114,-0.100146,-0.123332,0,-0.459028,0,0,2.711538,0.155832,0.488209,0.644041,0,0,0.355959,-9.4,-1.2186,-7.1256,-7.3878,-0.9577,-5.6003,0.2643,-3.0058,-1.5998,-4.2222,-2.8161,3.2982,2.0819,-0.9331,1.3746,0.9877,-0.032764,0.214767,0.138109,-174928994.1,-0.027423,-0.105973,739000000,NA,755000000,NA,740000000,NA,-0.03,,0.01,-0.02,-0.04,-0.17,,-0.45,-0.77,-0.1,0,0.367423461,57.87918451,12.88409873,11,2.732050808,1.016366771,104.075617
1017,1080,Rory P. Read,AMD,Information Technology,Q3,2012,10/18/2012 20:10,1.113,3775,169,18,0.411764706,1.583333333,1.809869013,1.632195022,1.548644957,1.650325046,1.511233025,0.972408019,0.535399253,0.478900432,0.01041601,0.78176787,1/22/2013 21:59,96,-0.141732283,-0.165354331,-0.11023622,-0.043307087,-0.087036,-537436756.8,-0.090204,1549000000,3.9588,88000000,-625436756.8,349563243.2,560000000,-760000000,286000000,-474000000,198000000,-35000000,1265000000,1260000000,2040000000,2035000000,560000000,3029000000,1.3275,0.451,2510650000,3070650000,2.5386,7.4722,0.4214,NA,0,-0.353295,1.9823,0.5154,NA,NA,NA,22.7456,NA,-1.435262,-2.038251,-1.817625,-1.850431,-1.843972,8.5,NA,0.060233,-0.065998,-1.204651,-0.478599,-0.964609,-0.401264,-0.4,-0.760638,-2.919779,0.123278,0.30715,-0.079557,-0.094495,-0.12756,-0.148875,0.69285,0.146526,0.23481,0.401645,0.958919,1.217105,0.045405,1.21,7.4896,6.4299,8.6223,5.5859,48.7341,56.766,65.3428,40.1573,0.1014,3.6034,4.3857,2.0576,2.0627,-0.357101,2.523922,-2.881023,-0.292003,-0.649104,-0.415573,-0.154346,-0.180138,0,-0.649104,0,0,0.681818,0.001651,0.671839,0.67349,0,0,0.32651,-4.3038,-1.1814,-4.2932,-3.7958,-1.042,-3.7865,-0.2346,-4.3931,-3.1066,-5.5376,-4.2511,0.7803,-0.3642,-3.6152,1.8103,1.2752,-0.005874,0.21232,0.21148,-433385945.9,-0.07274,-0.155253,745000000,NA,745000000,NA,NA,NA,0.02,,0.02,-0.01,-0.01,0.05,,0.37,0.21,0.04,0,0.374165739,54.12947441,11.78982612,13.40967365,3.645751311,1.019614617,129.306923
1018,1081,Rory Read,AMD,Information Technology,Q4,2012,1/22/2013 21:59,1.113,676,33,7,0.833333333,1.909090909,1.822691637,1.651839486,1.554402717,1.655174953,1.525821227,0.989803856,0.694986638,0.530336634,0.014297735,0.850123547,4/18/2013 19:39,85,0.041984733,0.045801527,-0.072519084,-0.026717557,-0.174482,-1026497946,-0.189321,1397000000,3.8577,-17000000,-1009497946,156502054.2,859000000,-1050000000,283000000,-767000000,133000000,-129000000,873000000,868000000,2042000000,2037000000,859000000,2580000000,0.726,-0.1498,1689480000,2548480000,3.1403,NA,0.3116,NA,0,-0.700215,1.8243,0.47,NA,NA,NA,NA,NA,-2.512821,-7.213018,0.070201,-3.409369,-3.424242,-1.884817,-0.156355,-0.012023,-0.089963,-0.618143,-0.381579,-0.909988,-0.333709,-0.344538,-3.503704,-0.614069,-0.098128,0.227776,-0.141461,-0.194762,-0.193655,-0.218185,0.772224,0.151789,0.249723,0.422538,0.972062,1.159048,0.027938,1.2111,7.0006,8.0674,7.8353,6.5833,52.138,45.2436,55.443,41.9386,0.321,4.2077,4.8769,3.7862,3.7955,-0.730344,0.458278,-1.188622,-0.381498,-1.111842,-0.718248,-0.234532,-0.264239,0,-1.111842,0,0,-2.541353,0.001938,0.789535,0.791473,0,0,0.208527,-2.6623,-1.1199,-2.6558,-1.9893,-0.8368,-1.9844,-1.1135,-6,-5.8657,-6.76,-6.6257,-1.9314,-2.6914,-5.7686,1.6213,1.1682,-0.023792,0.161011,0.160089,-929291700.9,-0.171393,-0.224456,741000000,NA,741000000,NA,741000000,NA,-0.03,-0.02,-0.03,-0.02,,0.09,0.16,0.06,0.12,,0,0.354964787,63.39558344,13.19090596,11.81665383,3.236067977,1.00614114,115.2742076
1019,1082,Rory Read,AMD,Information Technology,Q1,2013,4/18/2013 19:39,1.173,2235,90,5,1.25,2.111111111,1.819526215,1.65541837,1.545060424,1.66782914,1.525705514,0.986787373,0.721320281,0.447001124,0.030692571,0.849644702,7/18/2013 19:56,91,0.012295082,0.098360656,0.639344262,0.639344262,-0.246942,-574000000,-0.116548,1276000000,3.7396,-82000000,-492000000,165000000,861000000,-570000000,286000000,-284000000,-65000000,19000000,1022000000,1017000000,2044000000,2039000000,861000000,2459000000,0.5541,-0.3071,1909950000,2770950000,4.6023,NA,0.3878,NA,0,-0.386921,2.1716,0.5626,NA,NA,NA,NA,NA,-0.742331,-0.194969,-1.293432,-0.213465,-0.207317,-1.913242,-8.594395,-0.060383,-0.091664,0.629726,0.457143,0.440817,0.375317,0.38125,-0.775148,0.512629,-0.086614,0.335635,-0.057665,-0.116548,-0.115736,-0.150051,0.664365,0.156751,0.263553,0.452183,1,1.296491,0,1.1212,6.1294,5.4624,8.7478,3.7035,59.5487,66.82,98.5567,27.812,0.7955,5.9884,7.7639,4.9133,4.9253,-0.435839,0.282776,-0.718615,-0.571659,-1.007498,-0.373576,-0.129767,-0.168241,0,-1.007498,0,0,NA,0.002033,0.829199,0.831232,0,0,0.168768,-7.1972,-3.0317,-7.1796,-3.561,-1.5,-3.5523,-0.8632,-3.2386,-3.2614,-2.8693,-2.892,-3.4091,-3.0398,-2.7955,1.7699,1.2475,0.003858,0.207513,0.206497,-304500000,-0.061827,-0.150051,749000000,NA,749000000,NA,768400000,NA,-0.01,,0.01,-0.02,0,-0.29,,-0.15,-0.1,-0.2,0,0.40620192,58.06892456,10.72380529,10.69535971,3.236067977,1.023100695,98.96894586
1020,1083,Rory Read,AMD,Information Technology,Q2,2013,7/18/2013 19:56,1.156,3012,119,8,0.285714286,1.444444444,1.817209025,1.669444534,1.575456885,1.680841756,1.556474952,0.984116341,0.812593813,0.708131129,0.061368429,0.943031437,10/17/2013 21:08,91,0.010025063,-0.072681704,-0.152882206,-0.040100251,-0.26744,-687277051.1,-0.147074,1289000000,3.503,-90000000,-597277051.1,162722948.9,930000000,-673000000,280000000,-393000000,-79000000,44000000,1012000000,1007000000,2047000000,2042000000,930000000,2406000000,0.4774,-0.3737,3068160000,3998160000,8.5464,NA,0.6566,NA,0,-0.277039,3.1018,0.8556,NA,NA,NA,NA,NA,-0.827907,-0.309339,-1.512352,-0.342812,-0.341176,-2.269504,-2.743295,-0.065265,-0.051168,-0.383803,-0.180702,-0.197347,-0.150203,-0.151515,-0.193333,-0.213978,0.010188,0.315429,-0.0841,-0.145517,-0.144019,-0.181896,0.684571,0.156431,0.269848,0.460946,1.010702,1.249629,-0.010702,1.0456,6.6096,4.1438,8.4274,3.2844,55.2226,88.0838,111.1316,32.1747,0.8076,6.0556,7.5672,5.688,5.7019,-0.5152,0.273025,-0.788225,-0.636561,-1.151762,-0.447734,-0.150593,-0.190199,0,-1.151762,0,0,NA,0.002078,0.848712,0.85079,0,0,0.14921,-5.2087,-2.3664,-5.1959,-2.9784,-1.3532,-2.9711,-0.8324,-3.8457,-3.9273,-3.3943,-3.4759,-4.0914,-3.64,-3.413,1.694,1.1289,0.009416,0.216563,0.215493,-375200000,-0.080291,-0.17997,752000000,NA,752000000,NA,740000000,NA,-0.01,,-0.06,-0.06,-0.03,0.61,,0.83,0.6,0.36,0,0.40620192,47.05316142,10.09950494,10.48683298,2.414213562,1.039302181,109.5998136
1021,1084,Rory Read,AMD,Information Technology,Q3,2013,10/17/2013 21:08,1.128,2010,113,7,0.333333333,1.5,1.802736705,1.671347734,1.56285129,1.671857131,1.519899135,0.954870147,0.823374162,0.604667015,0.038414443,0.824308262,1/21/2014 19:47,95,-0.008426966,-0.092696629,0.02247191,0.036516854,-0.183451,-462606635.1,-0.095089,1302000000,3.4128,-247000000,-215606635.1,182393364.9,868000000,-461000000,272000000,-189000000,-153000000,122000000,1182000000,1177000000,2049000000,2044000000,868000000,2483000000,0.5681,-0.2631,2949040000,3817040000,6.795,NA,0.6062,NA,0,-0.218715,2.9317,0.7846,NA,NA,NA,NA,NA,0.601266,0.393421,0.139235,0.27283,0.268908,-4.37037,0.65527,-0.159458,0.041087,0.519084,0.315007,0.326899,0.241176,0.236842,0.364525,0.639017,0.010085,0.329496,-0.038849,-0.09332,-0.094758,-0.13258,0.670504,0.143474,0.250976,0.422816,1.018957,1.373102,-0.018957,1.0897,6.2532,3.916,9.3289,3.3821,58.37,93.2082,107.9223,43.6559,1.0035,6.2748,8.6159,4.7097,4.7212,-0.324522,0.255453,-0.579975,-0.582013,-0.906535,-0.15125,-0.103259,-0.144473,0,-0.906535,0,0,NA,0.002014,0.823198,0.825211,0,0,0.174789,-10.8413,-4.5926,-10.8148,-4.4292,-1.8763,-4.4184,-0.4961,-2.5899,-2.5989,-1.7303,-1.7394,-2.5562,-1.6966,-1.2113,1.668,1.097,0.025077,0.24296,0.241932,-234500000,-0.048201,-0.130113,757000000,NA,764000000,NA,800000000,NA,0.01,,0.01,0,0.02,-0.23,,0.11,0.28,-0.25,0,0.356370594,42.01190308,8.602325267,11.72380529,2.414213562,1.032400207,108.488936
1022,1085,Rory Read,AMD,Information Technology,Q4,2013,1/21/2014 19:47,1.128,1280,64,6,1.6,2.230769231,1.797864357,1.666254364,1.549986326,1.67704526,1.532460928,0.938392627,0.793634329,0.490883446,0.050618547,0.875903105,7/17/2014 22:41,177,-0.031662269,-0.065963061,-0.021108179,0.068601583,-0.022685,115527027,0.021802,1415000000,3.7688,18000000,97527027,198527027,871000000,103000000,261000000,364000000,-154000000,229000000,1326000000,1266000000,2058000000,1998000000,871000000,2602000000,0.7215,-0.1154,2850120000,3721120000,5.2392,NA,0.5379,NA,0,-0.029122,2.6298,0.7022,10.2229,36.1274,32.21,NA,38.1548,1.474576,1.098095,1.112545,0.929839,0.93125,0.56213,1.096609,0.012885,0.089209,2.925926,1.223427,1.249731,0.871318,0.873563,0.674725,1.452338,0.08679,0.373278,0.068692,0.019438,0.019438,-0.015663,0.626722,0.127194,0.226647,0.35384,1.121622,-0.718447,-0.121622,1.2712,7.249,4.5934,10.5558,4.1127,50.352,79.4625,88.7496,41.0648,1.5989,7.7052,-5.5358,3.6728,3.7831,0.082167,0.229511,-0.147344,-0.235587,-0.15342,0.069365,0.024709,-0.019911,0,-0.15342,0,0,NA,0.023059,0.767871,0.79093,0,0,0.20907,5.6538,2.3929,5.489,17.814,7.5394,17.2947,0.0861,0.5819,0.6527,1.452,1.5228,-0.8362,0.0339,0.551,1.7824,1.1922,0.043216,0.250236,0.238913,59500000,0.011229,-0.013965,754000000,NA,754000000,NA,754000000,NA,-0.02,-0.02,-0.01,-0.02,,-0.04,0.1,0.34,0.13,,0,0.403732585,38.41874542,7.416198487,10,3.828427125,1.029954793,98.20466228
